comment_id,priority,review_reason,sentiment,module_tags,is_target_related,content_clean,summary_reason
69281add000000000e037d95,P0,"negative_without_module,long_text_without_module",negative,,False,太快了！！！！！！！,对游戏速度表达不满
698416d3000000001900197d,P0,"negative_without_module,long_text_without_module",negative,,False,不想抽爱弥斯了，这个真戳我,对爱弥斯角色产生厌倦感，准备放弃抽卡。
69a2f58c0000000009035ae9,P0,"negative_without_module,long_text_without_module",negative,,False,我tm要笑死了,表达极度愤怒或失望，情感强烈
69a33ec50000000008032370,P0,"negative_without_module,long_text_without_module",negative,,False,recover. 笑死我了,表达对某事的负面情绪，内容未明确指向游戏
69a41af100000000050399a4,P0,negative_without_module,negative,,False,笑死了,表达极度愤怒或失望，情感强烈
69b0c9220000000002028678,P0,"negative_without_module,target_related_without_module,long_text_without_module",negative,,True,是耙耙柑不是粑粑柑……,纠正角色别名，表达正面情感
69b44a6c0000000018038423,P0,"negative_without_module,target_related_without_module,long_text_without_module",negative,,True,虽然但是这个手腕折叠……,对角色手腕设计不满，负面情绪。
69b4c0ba00000000050397f3,P0,"negative_without_module,long_text_without_module",negative,,False,我一点都不心动，我一点都不心动！🆘🙋‍♂️,表达对游戏/角色完全无心动/兴趣
69b545b6000000001d00b427,P0,"negative_without_module,long_text_without_module",negative,,False,反耳呢，伤到了我这个嘉欣,对角色外观有负面反应
69b63b53000000000f019f3b,P0,"mixed_sentiment,negative_without_module,long_text_without_module",mixed,,False,好🉑爱呀 但是我听说鸣潮剧情有点龙傲天 有点纠结要不要入坑,对游戏剧情有纠结感，考虑入坑
69b8e5680000000011019591,P0,negative_without_module,negative,,False,坏仁脸,对角色脸部评价不满
69b96779000000000202890f,P0,"negative_without_module,long_text_without_module",negative,,False,这下真是挑粪的了,对游戏内容表达极度不满，流失风险高。
69b96d0b00000000010057bb,P0,"negative_without_module,long_text_without_module",negative,,False,还是给河南妮，清早起来去拾粪……,表达对某人或角色不满，使用恶语
69b98334000000000c03081f,P0,"negative_without_module,long_text_without_module",negative,,False,谢谢你，我回不去了,明确表达弃坑，流失风险高
69ba0424000000000f0280f9,P0,"negative_without_module,long_text_without_module",negative,,False,搬💩大王，Q群里很多,对游戏内容表达极度不满，流失风险高。
69ba177800000000150053dc,P0,"negative_without_module,target_related_without_module,long_text_without_module",negative,,True,挑粪工，牢西,对目标角色有负面评价，称呼为牢西。
69ba86d10000000003011d80,P0,"negative_without_module,long_text_without_module",negative,,False,这是隧群，就是那个形态像🐮而已，不能当做一餐家畜的排泄物看待,对角色外观有负面评价，表达不满。
69bace68000000000c032699,P0,"negative_without_module,target_related_without_module,long_text_without_module",negative,,True,粑粑柑谨慎交友啊,对目标角色表达警告，内容为负面
69bba2ac0000000001007087,P0,negative_without_module,negative,,False,米死了,纯粹表达失望。
69282f21000000003900891e,P1,"target_related_without_module,long_text_without_module",positive,,True,这么快老婆！,对目标角色表达喜爱
